PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
10-2001,57930,X,-,,33459,X,31169,X,39285,X,- ,,n/a,,32102,X,-,,35714,X,-,,28494,X,14846,X,n/a,,23043,X,26087,X,25367,X,26153,X,23105,X,21779,,n/a,
11-2001,-,,51515,X,61180,X,-,,47876,X,- ,,n/a,,24184,X,51689,X,35864,X,19750,X,28016,X,25605,,n/a,,20934,,21702,X,19833,,24085,,23743,X,23261,,n/a,
12-2001,23752,X,68057,,44431,X,28685,X,43260,,- ,,n/a,,21142,X,53541,X,26501,,21932,X,27371,,23434,,n/a,,17440,X,29722,X,32699,X,23229,X,20058,X,23809,,n/a,
01-2002,-,,73282,X,32560,X,29250,X,39581,X,- ,,n/a,,-,,-,,34864,X,-,,26307,X,25360,,n/a,,19432,,25325,X,26037,,28326,,24356,,23506,,n/a,
02-2002,24330,X,58443,X,-,,-,,47713,X,- ,,n/a,,22195,X,39697,X,30596,X,-,,31020,,21844,X,n/a,,19018,,41907,X,23268,X,22038,X,18543,X,24684,,n/a,
03-2002,-,,54519,,55629,X,-,,43480,,- ,,n/a,,12903,X,-,,32197,X,17849,X,33254,,27112,,n/a,,20789,,29041,X,27795,,22425,X,19332,,24407,,n/a,
04-2002,18785,X,51906,X,50667,X,-,,41680,,- ,,n/a,,24376,X,-,,25792,X,20030,X,28203,,24315,,n/a,,20091,,29091,X,23217,,27111,X,25473,X,21210,,n/a,
05-2002,-,,58706,X,45884,X,19940,X,40152,X,- ,,n/a,,17978,X,46160,X,24424,X,22045,X,29739,,26435,,n/a,,19210,,29373,X,22809,,29164,X,24802,,17483,,n/a,
06-2002,18000,X,48954,,-,,21674,X,42576,,- ,,n/a,,23403,X,-,,30736,X,21669,X,31968,,22059,,n/a,,22867,,28241,X,22838,,24055,X,19915,,22153,,n/a,
07-2002,-,,65007,X,29336,X,35023,X,36186,X,- ,,n/a,,25084,X,-,,31905,,18401,X,30929,,21675,,n/a,,17210,,-,,24336,,23298,X,23314,,22249,,n/a,
08-2002,-,,44695,X,-,,33085,X,28173,X,- ,,n/a,,22847,X,30000,X,35423,X,-,,29906,,23916,,n/a,,17839,,29308,X,24085,X,22538,X,22506,,21047,,n/a,
09-2002,-,,66667,X,29379,X,37594,X,43725,,- ,,n/a,,20831,X,-,,36298,,18072,X,30724,,25792,,n/a,,20099,,36111,X,22211,,25770,X,23130,,21014,,n/a,
10-2002,-,,-,,-,,-,,39171,,- ,,n/a,,20872,X,34142,X,26974,X,-,,30058,,18660,X,n/a,,21555,,-,,18329,X,21651,,17932,X,23356,,n/a,
11-2002,21242,X,54471,X,24946,X,-,,38895,,- ,,n/a,,17226,X,-,,25248,X,20992,X,26492,X,24949,,n/a,,19005,,23414,X,23324,,21310,X,21342,,20107,,n/a,
12-2002,17680,X,41802,X,49828,X,-,,29049,,- ,,n/a,,27189,X,-,,22954,X,19270,X,31669,,23773,,n/a,,15085,,27792,X,20642,,28040,X,25822,,19700,,n/a,
01-2003,19430,X,53389,X,26373,X,-,,30680,X,- ,,n/a,,18342,X,-,,29813,,-,,27227,,21138,X,n/a,,19553,,29779,X,19959,,23400,X,20045,X,18281,,n/a,
02-2003,-,,-,,-,,36898,X,37430,X,- ,,n/a,,21572,X,-,,17343,X,19634,X,26076,X,23844,X,n/a,,13826,X,-,,21339,X,23779,,25221,,17998,,n/a,
03-2003,16358,X,72434,X,32974,X,-,,34787,X,- ,,n/a,,19813,X,-,,27765,,19760,X,28952,,22635,,n/a,,17855,,26136,X,19172,,21144,,22088,,20652,,n/a,
04-2003,18869,X,41891,X,-,,21768,X,32360,,- ,,n/a,,-,,-,,17907,X,18985,X,34269,X,24541,,n/a,,13578,X,23704,X,22122,,21443,,21285,X,16438,,n/a,
05-2003,21608,X,43989,X,34099,X,-,,35609,X,- ,,n/a,,-,,-,,19706,X,16458,X,24845,X,21629,X,n/a,,15980,,16807,X,21801,,18595,,18839,,18557,,n/a,
06-2003,-,,55588,X,-,,-,,33850,,- ,,n/a,,19259,X,15928,X,22016,,-,,25370,,19846,,n/a,,14117,,20225,X,21914,,18455,,16761,,18534,,n/a,
07-2003,18007,X,49778,,21996,X,21082,X,31637,,- ,,n/a,,20514,X,-,,19897,,-,,28664,X,24579,,n/a,,15593,,-,,25933,X,22441,,21710,,18938,,n/a,
08-2003,-,,44726,,48552,X,-,,35207,,- ,,n/a,,16678,X,46032,X,21957,X,17028,X,28776,,19566,,n/a,,18524,,-,,22007,,18296,,21747,,17690,,n/a,
09-2003,16865,X,53735,,42258,X,-,,39390,,- ,,n/a,,25413,,37752,X,27207,X,20337,X,26358,,24146,,n/a,,16041,,20436,X,24882,,20339,X,18458,,19654,,n/a,
10-2003,-,,55004,,33212,X,-,,31808,X,- ,,n/a,,17344,X,32929,X,20665,X,18523,X,33515,,22901,,n/a,,16706,,21211,X,19083,X,20343,,24589,,17982,,n/a,
11-2003,16838,X,59360,,35878,X,22917,X,46175,,- ,,n/a,,14948,X,49004,X,36248,X,18434,,33481,,29484,X,n/a,,16360,,-,,19677,,23850,X,19002,,20048,,n/a,
12-2003,-,,64579,,36788,,-,,45086,,- ,,n/a,,15047,X,47103,X,31297,,-,,36636,,22877,,n/a,,14558,X,-,,18892,,20958,,21836,,20816,,n/a,
01-2004,47847,X,71904,,63976,X,-,,57130,,- ,,n/a,,-,,37969,,31680,,-,,39341,,26937,X,n/a,,20558,,19443,X,20967,,22707,,27988,,19335,X,n/a,
02-2004,28497,X,76514,,55691,X,32299,X,64010,,- ,,n/a,,18231,,-,,33000,,21455,X,40600,,31402,,n/a,,15684,,27243,X,27662,,23788,X,20977,X,23582,,n/a,
