PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
07-2019,227818,X,-,,-,,-,,192428,X,- ,,197196,,-,,-,,-,,167015,X,209473,X,137225,,- ,,216300,,-,,222205,X,185895,X,188583,,183595,,- ,
08-2019,-,,-,,-,,-,,223908,X,- ,,- ,,-,,225941,X,-,,-,,224884,X,204459,X,- ,,187407,X,-,,226313,,-,,189525,X,187221,X,- ,
09-2019,-,,-,,-,,259431,,-,,- ,,- ,,-,,-,,303220,X,175439,X,154143,X,194444,X,171340,X,174125,X,-,,195166,X,278302,X,175776,X,195626,X,- ,
10-2019,338146,X,414241,X,-,,-,,297200,X,- ,,115573,X,-,,-,,-,,-,,232597,X,193333,X,- ,,171032,X,248035,X,168067,X,-,,156779,X,186507,X,- ,
11-2019,-,,670330,X,-,,-,,257839,X,- ,,127063,X,-,,-,,263058,X,194518,X,-,,172998,X,- ,,172060,X,-,,156364,X,196980,,139781,,189325,X,- ,
12-2019,-,,-,,210249,X,-,,-,,- ,,146375,X,-,,-,,223515,X,157623,X,152566,X,195431,X,- ,,89820,X,310210,X,187313,X,201844,X,142530,,- ,,- ,
01-2020,-,,-,,-,,-,,162426,X,- ,,169204,X,-,,-,,175439,X,-,,246093,X,- ,,- ,,132683,X,296823,X,239712,X,178409,X,153332,X,151972,X,- ,
02-2020,-,,-,,-,,-,,-,,- ,,186789,X,-,,-,,367347,X,-,,-,,134286,X,- ,,237174,X,288018,X,-,,-,,174236,X,159574,X,- ,
03-2020,-,,-,,-,,-,,-,,- ,,178568,X,-,,-,,190397,X,-,,-,,147674,,- ,,198136,X,233219,X,209375,X,185313,X,145910,,173586,X,- ,
04-2020,-,,-,,-,,-,,-,,- ,,160784,X,-,,175732,X,197558,X,-,,210970,X,181701,X,- ,,157586,X,305417,X,-,,188151,X,229839,X,183554,,- ,
05-2020,-,,391686,X,-,,-,,-,,- ,,120729,X,179121,X,-,,-,,-,,165799,X,185488,X,162454,X,174949,X,295775,X,179099,X,181472,X,151979,,159571,,- ,
06-2020,-,,-,,524721,X,-,,-,,- ,,165032,X,179791,X,-,,239160,X,-,,176047,X,193965,X,- ,,183567,X,222774,X,169433,,180712,X,-,,160776,,- ,
07-2020,-,,350263,X,-,,-,,208479,X,- ,,85334,X,268966,X,-,,282655,X,-,,235491,X,181773,,- ,,170274,X,338542,X,-,,173846,,165451,,168293,,- ,
08-2020,-,,-,,187970,X,-,,133080,X,- ,,137553,X,-,,-,,-,,-,,185935,X,140546,,- ,,173401,,-,,198454,X,196759,X,158905,,156002,X,- ,
09-2020,-,,-,,-,,-,,215665,X,- ,,178537,X,128859,X,-,,196505,X,146105,X,188204,X,172517,,- ,,154137,X,222143,X,219503,,253778,X,141839,,149004,,- ,
10-2020,-,,400580,X,-,,247059,X,185959,X,- ,,107166,X,126342,X,-,,151316,X,153761,X,196704,X,147447,X,- ,,-,,193727,X,-,,160793,X,141937,,165295,,- ,
11-2020,-,,-,,-,,-,,213958,X,- ,,94118,X,172436,X,422654,X,-,,-,,176176,X,153347,,- ,,144943,X,310924,X,-,,154882,X,161826,,150566,,- ,
12-2020,-,,476654,X,166447,X,-,,124274,X,- ,,137458,X,206783,X,230769,X,-,,-,,119048,X,188855,,- ,,173591,X,254449,X,234969,,175129,,132904,,181208,,- ,
01-2021,-,,653747,X,-,,-,,144568,X,- ,,171062,X,-,,-,,164150,X,-,,171078,X,157178,X,- ,,191228,X,234979,X,171175,X,187405,X,161487,,165617,,- ,
02-2021,665042,X,-,,243943,X,-,,-,,- ,,175033,X,220386,X,-,,271332,X,-,,183893,X,158412,,- ,,180637,X,269298,X,242080,X,163915,X,172171,,179041,,- ,
03-2021,-,,391845,X,-,,-,,182464,X,- ,,179865,X,238397,X,-,,252382,X,-,,193275,,154026,,- ,,168132,X,318628,,219733,,178977,X,149432,,196462,,- ,
04-2021,627326,X,744681,X,-,,-,,214274,X,- ,,105981,X,-,,512411,X,209933,X,185739,X,172068,,315207,,128689,X,232646,,183938,X,193146,,173084,,161368,,147772,,- ,
05-2021,443680,X,796964,X,509823,X,-,,185861,,- ,,183376,,191362,X,-,,286061,X,-,,-,,150078,X,- ,,179446,,-,,222282,,194698,X,160948,,196569,,- ,
06-2021,600729,,473089,X,-,,-,,-,,- ,,170858,,208778,X,170136,X,282594,X,-,,183712,,166454,,- ,,155535,X,259358,X,207072,,208565,X,179329,,160637,,- ,
07-2021,414422,X,-,,-,,-,,148935,X,- ,,130087,X,194180,X,-,,192530,X,163223,X,217766,X,178612,X,- ,,205560,,-,,208130,,208248,,189554,,183968,,- ,
08-2021,-,,-,,-,,-,,184692,,- ,,122753,X,167328,X,-,,225474,X,191038,X,198218,X,155435,X,181780,X,144186,X,-,,203798,X,190510,X,160494,,194417,,- ,
09-2021,-,,-,,317245,X,-,,-,,- ,,141198,X,341649,X,-,,306415,X,173926,X,199964,X,159323,,192690,X,236753,X,-,,190923,X,176515,X,190141,,168522,,- ,
10-2021,-,,451128,X,-,,-,,154652,X,- ,,153209,,-,,-,,337006,X,-,,167539,X,186753,X,174795,X,177809,,278654,X,223370,X,187713,X,181419,,163003,X,- ,
11-2021,-,,-,,-,,-,,179245,X,- ,,136981,X,140094,X,205128,X,181347,X,-,,-,,188818,,- ,,162401,,-,,214479,,190684,X,152192,,171512,,- ,
12-2021,-,,-,,275919,X,-,,-,,- ,,135614,X,-,,361991,X,-,,-,,189834,X,202884,X,- ,,148168,X,-,,-,,196383,X,157596,,193378,,- ,
01-2022,-,,400468,X,-,,-,,183727,X,- ,,198020,X,-,,334331,X,283461,X,-,,178953,X,183409,,- ,,204521,,225850,X,234003,X,189809,X,153616,,177004,,- ,
02-2022,-,,407518,X,-,,-,,-,,- ,,- ,,201852,X,-,,-,,-,,-,,- ,,- ,,198025,,268142,X,159551,X,-,,142794,X,160153,,- ,
03-2022,-,,-,,-,,-,,-,,- ,,- ,,-,,-,,213245,X,-,,-,,174467,X,- ,,129803,X,-,,213760,,-,,162699,,165570,,- ,
04-2022,-,,-,,-,,-,,-,,- ,,- ,,151088,X,196923,X,-,,-,,190533,X,174120,,155102,X,180719,X,186170,X,180991,,216711,X,200447,X,154618,,- ,
05-2022,-,,433717,X,-,,-,,166142,X,- ,,- ,,-,,-,,-,,-,,192965,,151186,X,- ,,169340,X,278221,X,240799,X,148872,X,153221,X,139567,,- ,
06-2022,233958,X,-,,169843,X,-,,204525,X,- ,,85136,X,216838,X,-,,188544,X,-,,210053,X,159523,X,- ,,147558,X,-,,188293,X,169492,X,113514,X,192756,X,- ,
07-2022,-,,-,,-,,-,,221610,X,- ,,- ,,140070,X,-,,215232,X,-,,227136,X,211204,X,- ,,127869,X,220000,X,240741,X,176101,X,149224,,158037,,- ,
08-2022,-,,-,,358680,X,-,,-,,- ,,135847,X,-,,-,,-,,-,,-,,161894,X,- ,,208696,X,396641,X,191078,X,-,,142030,,184436,,- ,
09-2022,-,,-,,-,,-,,-,,- ,,88593,X,-,,-,,-,,-,,142702,X,- ,,- ,,159538,X,-,,203239,X,217916,X,161554,X,156487,X,- ,
10-2022,-,,-,,179588,X,-,,176683,X,- ,,132548,X,-,,-,,324921,X,142361,X,133333,X,178642,X,- ,,177453,X,-,,-,,214876,X,173246,,191083,X,- ,
11-2022,-,,315271,X,-,,-,,177054,X,- ,,- ,,159722,X,178325,X,-,,-,,175915,X,159246,X,124396,X,158451,X,-,,129972,X,183962,X,137829,,149300,X,- ,
12-2022,-,,472396,X,-,,-,,194704,X,- ,,- ,,-,,-,,-,,-,,171549,X,250690,X,- ,,139080,X,135868,X,261682,X,215849,X,135952,X,131362,X,- ,
01-2023,-,,420116,X,-,,-,,225717,X,- ,,88148,X,-,,189474,X,228318,X,-,,-,,175325,X,140010,X,178416,X,-,,155565,X,-,,132128,X,161875,X,- ,
02-2023,-,,340326,X,-,,-,,199770,X,- ,,153146,X,-,,-,,-,,-,,159797,X,- ,,- ,,142641,X,-,,182543,X,-,,143891,X,139102,X,- ,
03-2023,-,,542808,X,193829,X,202804,X,164843,X,- ,,162071,X,-,,-,,279087,X,-,,155144,X,161719,,- ,,145996,X,244003,X,-,,224023,X,176039,,159643,,- ,
04-2023,364626,X,-,,-,,-,,200391,X,- ,,178763,X,-,,273926,X,-,,-,,165791,X,142867,X,139468,X,120000,X,351563,X,189018,X,175400,X,164361,X,160714,X,- ,
05-2023,370054,X,-,,-,,-,,218808,X,- ,,174200,X,-,,377483,X,-,,-,,126304,X,- ,,- ,,136521,X,194630,X,179408,X,232075,X,123165,X,144326,,- ,
06-2023,-,,475146,X,-,,-,,-,,- ,,91087,X,170837,X,-,,280876,X,-,,184686,X,156987,X,119552,X,128377,X,-,,158401,X,228276,X,176072,X,156267,,- ,
07-2023,-,,-,,-,,-,,-,,- ,,118041,X,-,,-,,-,,-,,188658,X,139485,X,- ,,135243,X,185009,X,-,,-,,134133,X,201705,X,- ,
08-2023,-,,-,,-,,-,,-,,- ,,- ,,-,,284495,X,248023,X,-,,182516,,146394,X,91679,,203704,X,-,,-,,193636,X,142134,,152419,,- ,
09-2023,-,,-,,-,,-,,-,,- ,,- ,,-,,277978,X,344004,X,-,,95032,X,148284,X,100806,X,181423,X,-,,148624,X,-,,143394,X,149116,X,- ,
10-2023,-,,-,,-,,-,,-,,- ,,- ,,-,,-,,-,,-,,105620,X,- ,,- ,,126791,X,-,,-,,156051,X,145140,,171733,X,- ,
11-2023,-,,464516,X,-,,-,,-,,- ,,102536,X,134306,X,-,,-,,-,,156633,X,161111,X,- ,,204558,X,207254,X,172131,X,155311,,138881,,135985,X,- ,
12-2023,-,,-,,-,,-,,-,,- ,,- ,,206897,X,-,,150990,X,115372,X,236842,X,175085,X,90890,X,138204,X,-,,-,,184713,X,162156,,111554,X,- ,
01-2024,-,,-,,-,,-,,199655,X,- ,,- ,,-,,-,,-,,-,,116279,X,145771,X,102737,X,115188,X,-,,248387,X,190029,X,164909,X,159235,X,- ,
02-2024,-,,-,,237729,X,-,,216216,X,- ,,151663,,-,,-,,-,,-,,-,,- ,,- ,,181333,X,-,,159885,X,148061,,129078,X,118116,X,- ,
03-2024,-,,-,,-,,-,,-,,- ,,138208,X,-,,-,,186352,X,-,,-,,130682,X,82582,X,-,,-,,147633,X,168103,X,148518,X,123575,X,- ,
04-2024,-,,-,,-,,-,,-,,- ,,- ,,-,,-,,261045,X,-,,154826,X,146494,,122581,X,109116,X,176005,X,233807,X,105556,X,117100,X,148666,X,- ,
05-2024,130127,X,319127,X,-,,-,,-,,- ,,90355,X,-,,-,,148233,X,-,,143186,X,- ,,- ,,130016,X,-,,123718,X,191780,X,120671,X,121259,X,- ,
06-2024,-,,259379,X,-,,-,,-,,- ,,130153,X,133013,X,-,,150319,X,92593,X,-,,101852,X,- ,,96976,X,-,,159734,X,109178,X,130083,X,125874,X,- ,
07-2024,-,,384440,X,-,,-,,-,,- ,,- ,,102076,X,-,,117292,X,143340,X,154687,X,117661,,79128,X,111179,X,-,,161058,X,159693,X,146259,X,96875,X,- ,
08-2024,252213,X,326586,X,-,,-,,-,,- ,,124888,X,211497,X,-,,-,,-,,162848,X,131910,,86288,X,140512,X,-,,157497,X,-,,67729,X,103556,X,- ,
09-2024,-,,-,,232240,X,-,,-,,- ,,- ,,96154,X,-,,-,,112771,X,-,,144751,X,- ,,128615,X,150427,X,153271,X,142811,X,105905,X,- ,,- ,
10-2024,411192,PX,232716,PX,-,P,-,P,150798,PX,- ,P,113246,PX,-,P,-,P,137179,PX,120734,PX,116909,PX,158385,PX,- ,P,105689,PX,-,P,105582,PX,-,P,152137,PX,148228,PX,- ,P
11-2024,-,P,225123,PX,151075,PX,-,P,143996,PX,- ,P,- ,P,-,P,140000,PX,-,P,-,P,139539,PX,112953,PX,- ,P,104278,PX,-,P,131800,PX,132386,PX,146552,PX,144985,P,- ,P
12-2024,-,P,324431,PX,-,P,-,P,157836,PX,- ,P,120255,PX,108805,PX,-,P,-,P,-,P,128465,PX,111807,PX,- ,P,99260,PX,-,P,138983,PX,108814,PX,94190,PX,135135,PX,- ,P
01-2025,-,P,365924,PX,-,P,-,P,89855,PX,- ,P,117675,PX,152284,PX,-,P,163558,PX,-,P,-,P,111356,PX,73620,PX,100404,PX,-,P,151687,PX,144353,PX,101637,PX,111235,PX,- ,P
