NON-DOMESTIC  SALES  -  NUMBER  OF  TRANSACTIONS  AND  CONSIDERATION  BY  PROPERTY  TYPE,,,,,,,,,,,,
Month,Offices Number,Offices Number - Remarks,Offices Consideration,Offices Consideration - Remarks,Commercial Number,Commercial Number - Remarks,Commercial Consideration,Commercial Consideration - Remarks,Flatted Factories Number,Flatted Factories Number - Remarks,Flatted Factories Consideration,Flatted Factories Consideration - Remarks
02-2019,38,,436.3,,67,,1568,,123,,869.6,
03-2019,97,,1676.7,,132,,1937.1,,415,,3507.2,
04-2019,113,,1814.8,,199,,2527.9,,372,,2501.6,
05-2019,95,,1750,,147,,1765.6,,301,,2192,
06-2019,135,,4104.1,,113,,1985.9,,221,,1347.1,
07-2019,81,,843.4,,91,,1729.6,,220,,1363,
08-2019,49,,557.4,,95,,2202.8,,117,,1262.7,
09-2019,57,,14238,,94,,2644.7,,130,,1325.8,
10-2019,35,,499.7,,107,,1758,,123,,946.9,
11-2019,48,,488.7,,104,,1503.9,,120,,717.6,
12-2019,41,,572.8,,73,,814.3,,144,,923.3,
01-2020,36,,320.3,,62,,712.4,,109,,865.6,
02-2020,25,,320.2,,52,,762.2,,86,,824.5,
03-2020,40,,290.2,,85,,897.4,,119,,890.9,
04-2020,53,,951.4,,87,,1139.3,,89,,595.3,
05-2020,55,,675.7,,95,,1192.9,,180,,1055.5,
06-2020,65,,897.2,,103,,1649.8,,209,,1136.6,
07-2020,58,,470.8,,102,,1257.7,,206,,1464.7,
08-2020,57,,639.6,,113,,1181.8,,190,,1224.7,
09-2020,71,,602.4,,160,,2008.1,,234,,1464.1,
10-2020,50,,873.1,,121,,1539.3,,197,,1081.1,
11-2020,63,,1196.7,,118,,3738.2,,201,,1252.3,
12-2020,113,,1049,,171,,2211.4,,297,,1830.8,
01-2021,64,,631.7,,156,,2681.1,,235,,1620.2,
02-2021,72,,784.7,,160,,2661,,256,,1701.7,
03-2021,109,,2023.8,,223,,3647,,394,,2723.7,
04-2021,119,,1510.5,,195,,2832.6,,301,,2038.6,
05-2021,109,,1427,,209,,3252.3,,341,,2285.1,
06-2021,104,,1477.6,,207,,4437.9,,393,,2754.6,
07-2021,111,,2089.8,,179,,2930.9,,322,,2563.7,
08-2021,92,,963.5,,186,,4513.8,,286,,2209.7,
09-2021,80,,1252.1,,181,,3619.7,,295,,3173.6,
10-2021,59,,800.2,,128,,4069.5,,205,,1449.1,
11-2021,88,,919.9,,190,,3872.6,,308,,2366.9,
12-2021,70,,979.3,,175,,3507.8,,301,,2463,
01-2022,69,,937.5,,154,,2895.1,,237,,2077.9,
02-2022,27,,318.3,,74,,1706,,114,,1434.5,
03-2022,43,,488.5,,93,,1498.5,,151,,1130.1,
04-2022,68,,701.4,,171,,2314.2,,184,,2411,
05-2022,76,,695.6,,142,,1932.7,,205,,1490.4,
06-2022,74,,827.6,,151,,2613.8,,231,,1571.8,
07-2022,61,,860.8,,87,,1202,,167,,1804.4,
08-2022,53,,1023.2,,131,,1838.2,,168,,1222.5,
09-2022,36,,422.9,,103,,1234.4,,181,,1273,
10-2022,75,,825.4,,85,,1144.5,,108,,769.1,
11-2022,40,,504.4,,109,,1441.2,,128,,935.4,
12-2022,45,,902.5,,97,,1929.3,,132,,763.7,
01-2023,40,,744.4,,87,,1392.3,,123,,795.4,
02-2023,49,,714,,97,,1869.4,,138,,1038.8,
03-2023,94,,1334.7,,130,,2063.7,,260,,2222.3,
04-2023,59,,791.5,,87,,947.7,,180,,1326.8,
05-2023,63,,915.7,,119,,2138.6,,204,,1404.4,
06-2023,70,,980.8,,78,,1101.9,,167,,1662.7,
07-2023,36,,264,,92,,1140.2,,170,,1144.8,
08-2023,60,,435.4,,126,,2108.2,,141,,911.6,
09-2023,41,,852.6,,75,,793.7,,109,,712.6,
10-2023,33,,359.3,,72,,581.5,,120,,958.1,
11-2023,59,,5756.1,,95,,1004.9,,128,,950.4,
12-2023,42,,381,,56,,1832,,120,,714.9,
01-2024,37,,334.2,,70,,590,,109,,771.5,
02-2024,51,,936.4,,53,,521.9,,93,,614.8,
03-2024,44,,370.1,,77,,1090.4,,155,,776.2,
04-2024,56,,680,,120,,1418.5,,126,,945.8,
05-2024,55,,897.2,,121,,1255.2,,151,,1041.3,
06-2024,42,,573.8,,100,,1005.4,,125,,684,
07-2024,49,,837.6,,71,,668.3,,138,,899.5,
08-2024,40,,589.5,,81,,1192.5,,145,,937.2,
09-2024,41,,1506.8,,79,,967.6,,127,,809.5,
10-2024,63,P,1597.7,P,106,P,1137.6,P,134,P,626.5,P
11-2024,70,P,645.4,P,104,P,1269.2,P,171,P,952.8,P
12-2024,54,P,807.5,P,132,P,2292.9,P,147,P,856.4,P
01-2025,55,P,457,P,86,P,907.2,P,125,P,698.8,P
