PRIVATE  RETAIL  -  RENTAL  AND  PRICE  INDICES [MONTHLY],,,,
Month,Rents,Rents - Remarks,Prices,Prices - Remarks
07-2017,183.1,,557.5,
08-2017,183.3,,562.1,
09-2017,184.3,,567.4,
10-2017,184.4,,569.1,
11-2017,184.4,,574.8,
12-2017,186.2,,577,
01-2018,185.2,,581.8,
02-2018,185.5,,583.3,
03-2018,185.6,,587,
04-2018,185.8,,587.6,
05-2018,186.9,,588.9,
06-2018,187,,590.6,
07-2018,187.4,,591.8,
08-2018,187.9,,594.9,
09-2018,188,,598.5,
10-2018,188.8,,600,
11-2018,186.4,,601,
12-2018,188.9,,591.5,
01-2019,188,,578,
02-2019,191.7,,575.2,
03-2019,188.1,,565.1,
04-2019,187.8,,575.7,
05-2019,190,,582.2,
06-2019,189.3,,562.6,
07-2019,190.8,,564.8,
08-2019,189.4,,545.5,
09-2019,186.8,,521.9,
10-2019,183.1,,505.1,
11-2019,179.7,,508.6,
12-2019,181.8,,511.3,
01-2020,177.9,,519.3,
02-2020,172.6,,523.8,
03-2020,171.8,,531.6,
04-2020,167.2,,528.3,
05-2020,167.6,,532.2,
06-2020,168.9,,522.1,
07-2020,168.8,,525.7,
08-2020,169.1,,512.4,
09-2020,168.8,,497.8,
10-2020,165.6,,501,
11-2020,168.5,,511,
12-2020,172.4,,521.3,
01-2021,170.1,,516.4,
02-2021,168.8,,531,
03-2021,168.8,,532.6,
04-2021,167.8,,527.8,
05-2021,171.2,,542.3,
06-2021,173.7,,543.3,
07-2021,172.5,,561.3,
08-2021,172.2,,571.7,
09-2021,172.7,,555,
10-2021,174.3,,535,
11-2021,177.2,,548.5,
12-2021,175.1,,555.8,
01-2022,171.3,,555.5,
02-2022,172.1,,542.6,
03-2022,166.8,,530.5,
04-2022,163.1,,518,
05-2022,165.5,,526.9,
06-2022,167,,532.5,
07-2022,167.4,,520.9,
08-2022,164.9,,517.9,
09-2022,165.5,,513.9,
10-2022,166.3,,513.4,
11-2022,167.3,,506.2,
12-2022,167.2,,498,
01-2023,167.2,,487.9,
02-2023,167.2,,484.8,
03-2023,168.1,,491.4,
04-2023,168.1,,496.6,
05-2023,170.7,,499.3,
06-2023,172.5,,501,
07-2023,172.8,,498.4,
08-2023,172.8,,495.5,
09-2023,172.8,,486.1,
10-2023,172.8,,478.8,
11-2023,172.8,,472.3,
12-2023,172.8,,467.5,
01-2024,171.5,,463.6,
02-2024,168.9,,457.7,
03-2024,166.9,,452.9,
04-2024,166.3,,444.6,
05-2024,166.1,,435.9,
06-2024,166,,425.1,
07-2024,164.3,,415.5,
08-2024,164.3,,408.4,
09-2024,164.3,,400.9,
10-2024,161.8,P,394.2,P
11-2024,161.6,P,385.4,P
12-2024,161,P,380.1,P
01-2025,160.8,P,378.2,P
