PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],,,,,,,,,,,,
Month,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
08-2013,137,,159,,105,,64436,Z,70657,,43116,
09-2013,144,,161,,106,,71866,Z,65212,,41863,
10-2013,146,,157,,102,,65703,Z,61196,,38096,
11-2013,158,,167,,104,,57130,Z,71050,,40337,
12-2013,136,,160,,108,,67115,Z,64493,,41098,
01-2014,154,,149,,109,,61489,Z,64557,,40489,
02-2014,142,,168,,111,,78747,Z,78194,,40485,
03-2014,154,,167,,111,,68040,Z,64419,,38808,
04-2014,155,,160,,107,,81180,Z,58947,,40407,
05-2014,166,,158,,108,,63649,Z,65166,,39086,
06-2014,157,,163,,112,,73542,Z,65627,,41382,
07-2014,153,,161,,113,,74364,Z,71928,,42683,
08-2014,144,,168,,112,,71928,,64200,,40693,
09-2014,150,,166,,115,,64043,Z,69723,,44312,
10-2014,162,,165,,115,,70601,Z,79291,,44030,
11-2014,158,,174,,118,,82509,Z,84012,,43709,
12-2014,161,,173,,121,,73591,Z,75689,,44739,
01-2015,174,,162,,118,,72900,Z,74346,,48424,
02-2015,180,,174,,129,,82189,Z,76149,,48399,
03-2015,175,,174,,125,,65137,Z,75668,,47450,
04-2015,157,,174,,117,,90630,Z,78575,,43936,
05-2015,159,,181,,123,,92023,Z,74838,,47957,
06-2015,165,,186,,130,,83452,,75545,,51003,
07-2015,162,,179,,122,,82783,Z,74633,,44168,
08-2015,171,,181,,128,,80802,Z,75690,,49669,
09-2015,179,,183,,128,,76363,Z,70905,,46926,
10-2015,182,,185,,125,,90775,Z,88313,,46482,
11-2015,178,,187,,121,,73981,Z,77473,,46807,
12-2015,161,,184,,132,,60143,Z,64379,,47072,
01-2016,158,,175,,120,,63863,Z,73548,,41809,
02-2016,174,,182,,130,,63756,Z,57259,Z,48024,
03-2016,179,,181,,130,,69504,Z,70681,,44731,
04-2016,170,,177,,128,,68366,Z,65800,,45008,
05-2016,180,,179,,132,,90157,Z,64704,,43623,
06-2016,183,,176,,131,,73214,Z,72900,,43204,
07-2016,176,,186,,126,,60121,Z,72867,,44267,
08-2016,168,,189,,126,,77621,Z,66261,,44531,
09-2016,166,,179,,127,,67991,Z,67853,,45971,
10-2016,177,,186,,130,,92410,Z,72594,,46824,
11-2016,182,,186,,128,,78508,Z,73682,,46379,
12-2016,189,,186,,130,,84570,Z,76265,,54076,
01-2017,182,,179,,134,,80083,Z,75371,,49455,
02-2017,174,,185,,136,,73686,Z,75914,,49799,
03-2017,192,,186,,131,,78130,,78251,,50456,
04-2017,178,,183,,127,,76569,,78958,,52096,
05-2017,175,,183,,130,,100832,,75774,,51707,
06-2017,178,,190,,133,,90460,,86044,,51569,
07-2017,190,,190,,134,,76005,,82363,,50379,
08-2017,173,,193,,141,,86199,,85208,,48522,
09-2017,191,,192,,138,,91375,Z,77233,,51811,
10-2017,197,,193,,138,,93538,Z,81377,,53197,
11-2017,198,,204,,135,,91206,,80218,,54929,
12-2017,205,,200,,145,,80030,,87177,,55067,
01-2018,177,,199,,137,,88280,,85261,,54422,
02-2018,177,,200,,141,,88048,Z,88701,,57367,
03-2018,185,,202,,145,,82844,,87956,,55599,
04-2018,183,,197,,140,,82278,Z,95854,,60386,
05-2018,197,,207,,148,,103113,,88907,,59732,
06-2018,195,,204,,148,,97847,,95024,,58458,
07-2018,198,,208,,145,,98485,,97850,,64527,
08-2018,199,,205,,151,,79942,,92911,,63495,
09-2018,202,,203,,148,,99613,Z,90078,,65777,
10-2018,205,,202,,146,,89473,Z,85743,,70237,
11-2018,205,,212,,144,,108508,Z,85785,,73870,
12-2018,203,,207,,153,,92550,Z,80117,,62579,
01-2019,195,,190,,153,,94813,Z,81813,,57098,
02-2019,196,,218,,158,,102445,Z,79860,,68196,
03-2019,209,,218,,154,,105658,Z,88004,,62275,
04-2019,213,,201,,153,,93128,,95062,,65913,
05-2019,202,,214,,152,,103503,Z,92960,,68667,
06-2019,196,,209,,152,,89300,Z,90108,,65739,
07-2019,212,,210,,152,,96249,Z,92427,,70812,
08-2019,204,,215,,162,,118727,Z,103712,,61972,
09-2019,193,,212,,162,,87092,Z,97160,,68505,
10-2019,214,,212,,157,,106288,Z,81379,,56180,
11-2019,208,,213,,146,,111591,Z,97796,,60879,
12-2019,224,,217,,155,,94493,Z,89047,,61321,
01-2020,189,,200,,146,,70707,Z,84371,,62811,
02-2020,203,,210,,153,,94252,Z,98364,Z,62565,
03-2020,198,,204,,150,,92993,Z,81177,,55523,
04-2020,191,,204,,145,,86612,Z,85751,Z,56632,
05-2020,185,,206,,148,,82690,Z,82089,,59390,
06-2020,198,,206,,152,,59035,Z,90724,,61124,
07-2020,184,,218,,154,,77395,Z,85721,,61232,
08-2020,187,,210,,165,,78621,Z,91368,,60621,
09-2020,187,,208,,160,,89114,Z,88283,,56128,
10-2020,192,,206,,148,,71443,Z,81454,,66201,
11-2020,200,,211,,150,,76789,Z,81811,,61651,
12-2020,196,,207,,151,,90177,Z,87823,,59525,
